issue,resolution
Output too high. Beam --------,ion chamber
GFIL Interlock Beam GFIL -------,filament ps
GFIL Interlock Beam GFIL -------,gun pulse driver
GFIL Interlock Beam GFIL -------,gun pulse driver
Yield monitor error Beam YIELD -------,target
Underdose Beam UDRS -------,adjusted gun hv
GFIL Interlock Beam GFIL -------,hot deck
GFIL Interlock Beam GFIL -------,gun pulse driver
GFIL Interlock Beam GFIL -------,filament ps
GFIL Interlock Beam GFIL ----HD_AD+ --,lv ps ps2
GFIL Interlock Beam GFIL ----HD_AD+ --,filament ps
GFIL Interlock Beam GFIL ----HD_AD+ --,gun pulse driver
Underdose Beam UDRS1 UDRS2 ------,cold deck
Underdose Beam UDRS1 UDRS2 ------,gantry patch panel
Underdose Beam UDRS1 UDRS2 ------,cable
Underdose Beam UDRS1 UDRS2 ------,cable
Underdose Beam UDRS1 UDRS2 ------,cable
Underdose Beam UDRS1 UDRS2 ------,cable
Underdose Beam UDRS1 UDRS2 ------,cable
GFIL Interlock Beam GFIL ----HVPS+ FIL -,filament ps
GFIL Interlock Beam GFIL ----HVPS+ FIL -,gun pulse driver
Yield monitor error Beam YIELD -------,target
BGM Fault Beam BGM ----210005 --,AFC
GFIL Interlock Beam GFIL ----HD_AD+ --,hot deck
GFIL Interlock Beam GFIL -------,gun pulse driver
GFIL Interlock Beam GFIL -------,hot deck
GFIL Interlock Beam GFIL -------,emergency off reset
GFIL and HVCB Faults Beam GFIL HVCB ------,hot deck
GFIL Interlock Beam GFIL -------,adjusted gun hv
GFIL Interlock Beam GFIL -------,emergency off reset
GFIL Interlock Beam GFIL -------,filament ps
GFIL Interlock Beam GFIL -------,gun pulse driver
GFIL Interlock Beam GFIL ----AD_Overcurrent --,hot deck
GFIL Interlock Beam GFIL ----AD_Overcurrent --,lv ps ps2
GFIL Interlock Beam GFIL -------,gun pulse driver
GFIL Interlock Beam GFIL -------,filament ps
GFIL Interlock Beam GFIL -------,filament ps
GFIL Interlock Beam GFIL -------,gun pulse driver
GFIL Interlock Beam GFIL ----HD_AD+ HV_OFF EE_ROM ,hvps
GFIL Interlock Beam GFIL ----HD_TEMP HD_AD+ -,lv ps ps2
GFIL UDRS VAC 2 Beam GFIL UDRS VAC2 -----,tuned machine
GFIL Interlock Beam GFIL -------,gun pulse driver
GFIL Interlock Beam GFIL -------,filament ps
